day,S,E,I,R
1,19963,10,25,2
2,19952,17,26,5
3,19928,26,37,9
4,19898,39,50,13
5,19841,68,69,22
6,19773,104,94,29
7,19704,115,141,40
8,19604,146,191,59
9,19464,208,237,91
10,19305,274,294,127
11,19073,349,421,157
12,18772,458,560,210
13,18384,628,696,292
14,17847,847,917,389
15,17240,1014,1231,515
16,16514,1229,1598,659
17,15472,1623,2022,883
18,14347,1994,2531,1128
19,12894,2476,3181,1449
20,11381,2846,3904,1869
21,9773,3147,4708,2372
22,8166,3396,5494,2944
23,6601,3623,6113,3663
24,5264,3588,6679,4469
25,4114,3378,7165,5343
26,3124,3089,7477,6310
27,2378,2738,7640,7244
28,1807,2342,7557,8294
29,1381,2029,7317,9273
30,1063,1687,7059,10191
31,825,1356,6744,11075
32,669,1095,6252,11984
33,577,869,5808,12746
34,481,676,5342,13501
35,430,560,4829,14181
36,417,450,4369,14764
37,395,371,3959,15275
38,385,315,3505,15795
39,392,266,3140,16202
40,412,209,2816,16563
41,421,169,2503,16907
42,437,145,2240,17178
43,461,113,2027,17399
44,485,105,1823,17587
45,521,81,1611,17787
46,560,76,1434,17930
47,608,63,1274,18055
48,656,57,1118,18169
49,696,56,992,18256
50,731,56,889,18324
51,771,58,787,18384
52,834,62,713,18391
53,874,61,640,18425
54,924,57,573,18446
55,990,48,508,18454
56,1045,50,449,18456
57,1088,41,408,18463
58,1144,37,368,18451
59,1188,37,334,18441
60,1240,34,297,18429
61,1294,34,265,18407
62,1354,38,240,18368
63,1397,31,216,18356
64,1450,29,195,18326
65,1506,29,176,18289
66,1552,32,156,18260
67,1616,32,146,18206
68,1666,32,133,18169
69,1713,25,138,18124
70,1760,24,128,18088
71,1821,24,115,18040
72,1885,20,108,17987
73,1943,20,97,17940
74,1986,19,87,17908
75,2046,18,87,17849
76,2106,18,71,17805
77,2167,16,67,17750
78,2215,14,74,17697
79,2262,15,70,17653
80,2307,15,75,17603
81,2372,16,77,17535
82,2402,17,74,17507
83,2461,15,67,17457
84,2510,13,61,17416
