day,S,E,I,R
1,198239,1137,597,27
2,193562,4164,2169,105
3,177687,14495,7415,403
4,132778,42616,23247,1359
5,53204,87798,54611,4387
6,6236,96736,85422,11606
7,245,73747,103142,22866
8,56,53035,110486,36423
9,99,37951,110944,51006
10,125,27187,106918,65770
11,200,19454,100637,79709
12,233,14088,92765,92914
13,325,10212,84503,104960
14,356,7566,76205,115873
15,385,5536,68177,125902
16,478,4112,60921,134489
17,527,3178,53997,142298
18,538,2483,47882,149097
19,625,2004,42403,154968
20,707,1715,37510,160068
21,739,1550,33197,164514
22,803,1375,29340,168482
23,920,1306,25836,171938
24,1088,1221,22935,174756
25,1198,1234,20332,177236
26,1242,1253,18100,179405
27,1370,1224,16093,181313
28,1496,1272,14458,182774
29,1628,1284,13016,184072
30,1725,1287,11736,185252
31,1908,1288,10572,186232
32,2130,1255,9602,187013
33,2247,1316,8728,187709
34,2452,1356,7992,188200
35,2733,1330,7402,188535
36,2872,1357,6834,188937
37,3094,1401,6365,189140
38,3328,1379,6032,189261
39,3526,1399,5768,189307
40,3762,1421,5485,189332
41,3911,1550,5250,189289
42,4092,1546,5137,189225
43,4236,1531,5066,189167
44,4379,1600,4973,189048
45,4510,1708,4857,188925
46,4719,1730,4830,188721
47,4894,1744,4831,188531
48,4928,1785,4871,188416
49,5072,1798,4831,188299
50,5130,1859,4812,188199
51,5326,1889,4842,187943
52,5319,1978,4866,187837
53,5359,2096,4870,187675
54,5504,2046,5001,187449
55,5525,2089,5106,187280
56,5427,2163,5250,187160
57,5389,2191,5334,187086
58,5345,2208,5512,186935
59,5309,2240,5607,186844
60,5285,2288,5694,186733
61,5249,2257,5796,186698
62,5210,2313,5914,186563
63,5205,2288,6032,186475
64,5177,2340,6077,186406
65,5120,2385,6155,186340
66,5093,2436,6242,186229
67,5044,2391,6391,186174
68,4945,2473,6429,186153
69,4944,2471,6495,186090
70,4973,2508,6515,186004
71,4987,2569,6495,185949
72,4960,2545,6633,185862
73,4876,2501,6777,185846
74,4888,2532,6799,185781
75,4931,2552,6805,185712
76,4880,2596,6919,185605
77,4832,2633,7008,185527
78,4723,2613,7073,185591
79,4658,2633,7091,185618
80,4653,2653,7137,185557
81,4660,2607,7216,185517
82,4680,2651,7152,185517
83,4697,2681,7112,185510
84,4701,2707,7126,185466
85,4715,2690,7222,185373
86,4733,2681,7309,185277
87,4723,2707,7319,185251
88,4730,2690,7370,185210
89,4761,2744,7327,185168
90,4818,2789,7374,185019
91,4788,2795,7426,184991
92,4803,2817,7477,184903
93,4776,2859,7610,184755
94,4780,2836,7648,184736
95,4806,2810,7731,184653
96,4819,2888,7685,184608
97,4883,2842,7850,184425
98,4792,2905,7842,184461
99,4778,2865,7935,184422
100,4679,2874,8011,184436
101,4690,2827,8049,184434
102,4665,2831,8081,184423
103,4754,2852,8010,184384
104,4745,2888,8005,184362
105,4722,2921,8063,184294
106,4629,2989,8059,184323
107,4688,2950,8153,184209
108,4761,2899,8252,184088
109,4728,2941,8209,184122
110,4761,2971,8254,184014
111,4768,2945,8299,183988
112,4813,2936,8335,183916
113,4763,3034,8347,183856
114,4744,3018,8360,183878
115,4779,3077,8307,183837
116,4780,3063,8399,183758
117,4802,3119,8410,183669
118,4841,3116,8461,183582
119,4756,3137,8491,183616
120,4772,3130,8569,183529
121,4812,3049,8607,183532
122,4773,3111,8577,183539
123,4748,3138,8648,183466
124,4720,3148,8649,183483
125,4714,3176,8683,183427
126,4727,3125,8801,183347
127,4761,3101,8825,183313
128,4716,3153,8777,183354
129,4700,3174,8764,183362
130,4651,3180,8756,183413
131,4641,3223,8759,183377
132,4661,3199,8821,183319
133,4679,3179,8826,183316
134,4771,3173,8778,183278
135,4810,3189,8788,183213
136,4727,3233,8838,183202
137,4793,3249,8847,183111
138,4804,3194,8965,183037
139,4815,3182,8962,183041
140,4800,3255,8992,182953
141,4785,3303,8995,182917
142,4866,3204,9069,182861
143,4885,3223,9065,182827
144,4840,3243,9136,182781
145,4724,3318,9140,182818
146,4702,3360,9201,182737
147,4756,3310,9167,182767
148,4767,3391,9092,182750
149,4811,3380,9175,182634
150,4737,3379,9254,182630
151,4761,3330,9374,182535
152,4845,3351,9267,182537
153,4745,3422,9326,182507
154,4690,3397,9394,182519
155,4696,3379,9459,182466
156,4782,3310,9499,182409
157,4803,3242,9502,182453
158,4742,3337,9491,182430
159,4674,3409,9478,182439
160,4616,3375,9574,182435
161,4571,3386,9553,182490
162,4661,3337,9533,182469
163,4602,3334,9623,182441
164,4600,3352,9602,182446
165,4670,3368,9535,182427
166,4718,3364,9546,182372
167,4711,3357,9511,182421
168,4679,3372,9519,182430
169,4609,3472,9441,182478
170,4622,3476,9416,182486
171,4598,3496,9434,182472
172,4596,3426,9463,182515
173,4669,3401,9470,182460
174,4755,3331,9574,182340
175,4799,3376,9507,182318
176,4767,3391,9485,182357
177,4812,3379,9536,182273
178,4774,3420,9550,182256
179,4769,3500,9507,182224
180,4786,3473,9665,182076
181,4810,3479,9652,182059
182,4802,3490,9685,182023
183,4760,3490,9749,182001
184,4738,3522,9843,181897
185,4739,3525,9853,181883
186,4720,3521,9850,181909
187,4699,3539,9857,181905
188,4652,3515,9954,181879
189,4701,3498,10020,181781
190,4598,3542,10005,181855
191,4555,3511,9940,181994
192,4633,3387,10007,181973
193,4606,3448,9869,182077
194,4656,3461,9822,182061
195,4696,3406,9915,181983
196,4687,3416,9857,182040
197,4659,3422,9886,182033
198,4562,3487,9871,182080
199,4582,3532,9864,182022
200,4624,3534,9823,182019
201,4683,3421,9879,182017
202,4738,3476,9894,181892
203,4667,3478,9891,181964
204,4617,3514,9851,182018
205,4627,3453,9870,182050
206,4718,3434,9859,181989
207,4767,3403,9847,181983
208,4684,3511,9828,181977
209,4676,3550,9781,181993
210,4725,3496,9762,182017
211,4685,3484,9841,181990
212,4827,3540,9812,181821
213,4816,3508,9893,181783
214,4799,3597,9918,181686
215,4701,3620,9938,181741
216,4671,3566,10016,181747
217,4723,3521,10083,181673
218,4661,3517,10027,181795
219,4646,3609,9909,181836
220,4683,3597,9940,181780
221,4768,3580,9945,181707
222,4874,3526,9979,181621
223,4817,3605,9898,181680
224,4870,3670,9886,181574
225,4814,3701,9909,181576
226,4774,3671,9999,181556
227,4735,3733,10023,181509
228,4738,3663,10124,181475
229,4629,3632,10149,181590
230,4595,3577,10246,181582
231,4600,3549,10269,181582
232,4619,3567,10324,181490
233,4576,3554,10360,181510
234,4592,3533,10356,181519
235,4551,3538,10314,181597
236,4525,3615,10198,181662
237,4602,3616,10143,181639
238,4599,3546,10218,181637
239,4631,3543,10171,181655
240,4673,3558,10200,181569
241,4649,3586,10120,181645
242,4716,3541,10140,181603
243,4825,3639,10059,181477
244,4787,3658,10208,181347
245,4748,3624,10288,181340
246,4701,3588,10320,181391
247,4667,3696,10323,181314
248,4672,3683,10246,181399
249,4796,3607,10273,181324
250,4845,3686,10269,181200
251,4776,3762,10235,181227
252,4732,3747,10341,181180
253,4728,3696,10422,181154
254,4661,3750,10429,181160
255,4647,3753,10439,181161
256,4717,3709,10392,181182
257,4645,3765,10352,181238
258,4563,3729,10390,181318
259,4608,3654,10453,181285
260,4573,3676,10461,181290
261,4621,3637,10440,181302
262,4681,3651,10476,181192
263,4732,3607,10460,181201
264,4758,3609,10417,181216
265,4723,3661,10389,181227
266,4758,3727,10368,181147
267,4793,3745,10321,181141
268,4812,3674,10422,181092
269,4838,3698,10425,181039
270,4770,3729,10416,181085
271,4800,3713,10441,181046
272,4728,3677,10563,181032
273,4677,3673,10609,181041
274,4723,3643,10625,181009
275,4710,3656,10652,180982
276,4671,3673,10552,181104
277,4619,3744,10518,181119
278,4666,3666,10584,181084
279,4749,3672,10580,180999
280,4782,3677,10526,181015
281,4710,3722,10532,181036
282,4717,3739,10478,181066
283,4692,3669,10547,181092
284,4726,3626,10631,181017
285,4774,3694,10529,181003
286,4803,3689,10484,181024
287,4832,3743,10460,180965
288,4752,3780,10544,180924
289,4600,3813,10523,181064
290,4621,3767,10594,181018
291,4535,3759,10628,181078
292,4611,3718,10593,181078
293,4647,3628,10592,181133
294,4688,3619,10556,181137
295,4567,3698,10547,181188
296,4486,3737,10559,181218
297,4508,3737,10549,181206
298,4585,3681,10529,181205
299,4704,3621,10548,181127
300,4741,3678,10479,181102
301,4753,3683,10543,181021
302,4841,3599,10559,181001
303,4803,3640,10575,180982
304,4708,3649,10541,181102
305,4757,3678,10554,181011
306,4811,3633,10562,180994
307,4692,3734,10499,181075
308,4730,3762,10491,181017
309,4716,3736,10507,181041
310,4761,3696,10562,180981
311,4721,3718,10516,181045
312,4746,3728,10488,181038
313,4729,3740,10561,180970
314,4764,3673,10652,180911
315,4808,3718,10622,180852
316,4761,3756,10683,180800
317,4737,3754,10690,180819
318,4708,3729,10657,180906
319,4711,3765,10625,180899
320,4773,3797,10567,180863
321,4724,3807,10524,180945
322,4634,3756,10610,181000
323,4637,3780,10609,180974
324,4674,3794,10630,180902
325,4704,3813,10619,180864
326,4637,3830,10638,180895
327,4635,3803,10675,180887
328,4661,3813,10686,180840
329,4662,3776,10693,180869
330,4706,3785,10657,180852
331,4776,3728,10736,180760
332,4800,3765,10679,180756
333,4723,3884,10506,180887
334,4682,3879,10523,180916
335,4786,3830,10524,180860
336,4814,3738,10608,180840
337,4787,3747,10699,180767
338,4707,3749,10664,180880
339,4694,3733,10671,180902
340,4671,3771,10686,180872
341,4561,3809,10651,180979
342,4624,3694,10830,180852
343,4586,3787,10775,180852
344,4659,3731,10686,180924
345,4715,3790,10587,180908
346,4678,3769,10579,180974
347,4633,3772,10568,181027
348,4652,3752,10597,180999
349,4697,3853,10539,180911
350,4683,3913,10543,180861
351,4789,3862,10576,180773
352,4759,3780,10762,180699
353,4694,3769,10785,180752
354,4657,3778,10682,180883
355,4692,3769,10687,180852
356,4767,3815,10566,180852
357,4804,3783,10613,180800
358,4843,3778,10745,180634
359,4847,3881,10762,180510
360,4846,3808,10813,180533
361,4599,3883,10846,180672
362,4712,3774,10834,180680
363,4724,3720,10986,180570
364,4676,3696,11061,180567
365,4715,3693,11019,180573
366,4653,3750,10975,180622
367,4709,3785,10884,180622
368,4695,3779,10926,180600
369,4653,3760,10947,180640
370,4645,3710,10996,180649
371,4688,3762,10888,180662
372,4669,3782,10772,180777
373,4715,3804,10787,180694
374,4709,3792,10755,180744
375,4733,3782,10746,180739
376,4766,3787,10733,180714
377,4730,3822,10770,180678
378,4682,3820,10818,180680
379,4634,3874,10751,180741
380,4709,3811,10742,180738
381,4663,3826,10718,180793
382,4662,3797,10779,180762
383,4648,3769,10762,180821
384,4624,3728,10806,180842
385,4747,3676,10759,180818
386,4752,3766,10725,180757
387,4777,3739,10781,180703
388,4741,3824,10764,180671
389,4797,3847,10743,180613
390,4717,3851,10762,180670
391,4684,3742,10782,180792
392,4707,3711,10826,180756
393,4671,3727,10764,180838
394,4596,3738,10736,180930
395,4477,3760,10759,181004
396,4510,3779,10759,180952
397,4528,3820,10721,180931
398,4631,3722,10750,180897
399,4745,3669,10758,180828
400,4807,3712,10763,180718
401,4768,3796,10696,180740
402,4786,3790,10738,180686
403,4823,3842,10691,180644
404,4720,3892,10758,180630
405,4759,3886,10732,180623
406,4732,3835,10751,180682
407,4676,3831,10831,180662
408,4574,3833,10862,180731
409,4544,3842,10884,180730
410,4606,3761,10943,180690
411,4569,3743,10951,180737
412,4614,3816,10801,180769
413,4582,3815,10803,180800
414,4591,3794,10791,180824
415,4552,3702,10896,180850
416,4709,3734,10776,180781
417,4675,3714,10851,180760
418,4652,3845,10833,180670
419,4542,3908,10805,180745
420,4611,3847,10833,180709
421,4587,3883,10735,180795
422,4633,3807,10762,180798
423,4702,3791,10746,180761
424,4730,3819,10702,180749
425,4769,3766,10729,180736
426,4733,3839,10743,180685
427,4764,3800,10792,180644
428,4771,3850,10736,180643
429,4692,3832,10750,180726
430,4757,3791,10710,180742
431,4752,3803,10763,180682
432,4749,3908,10696,180647
433,4701,3895,10746,180658
434,4824,3833,10751,180592
435,4779,3884,10729,180608
436,4662,3900,10796,180642
437,4741,3799,10812,180648
438,4703,3819,10781,180697
439,4764,3795,10751,180690
440,4760,3803,10761,180676
441,4746,3828,10710,180716
442,4730,3850,10735,180685
443,4747,3851,10758,180644
444,4764,3791,10838,180607
445,4746,3851,10750,180653
446,4728,3890,10739,180643
447,4820,3863,10756,180561
448,4864,3906,10806,180424
449,4840,3916,10885,180359
450,4740,3905,10961,180394
451,4656,3931,10983,180430
452,4722,3887,10955,180436
453,4757,3869,10982,180392
454,4685,3851,11078,180386
455,4623,3784,11174,180419
456,4650,3779,11220,180351
457,4572,3823,11096,180509
458,4659,3720,11125,180496
459,4645,3758,11065,180532
460,4622,3811,10886,180681
461,4599,3854,10859,180688
462,4722,3753,10749,180776
463,4733,3754,10765,180748
464,4793,3783,10805,180619
465,4727,3706,10883,180684
466,4753,3764,10767,180716
467,4707,3775,10816,180702
468,4689,3755,10855,180701
469,4641,3755,10870,180734
470,4662,3782,10822,180734
471,4666,3769,10881,180684
472,4605,3798,10903,180694
473,4574,3813,10916,180697
474,4603,3802,10895,180700
475,4656,3784,10781,180779
476,4666,3841,10701,180792
477,4767,3814,10721,180698
478,4785,3753,10772,180690
479,4756,3871,10716,180657
480,4800,3850,10748,180602
481,4875,3824,10759,180542
482,4848,3774,10794,180584
483,4800,3849,10885,180466
484,4775,3945,10920,180360
485,4785,3935,10940,180340
486,4847,3917,11027,180209
487,4773,3856,11089,180282
488,4665,3905,11040,180390
489,4635,3889,11115,180361
490,4690,3884,11090,180336
491,4675,3881,11070,180374
492,4637,3885,11045,180433
493,4621,3891,11059,180429
494,4714,3889,11033,180364
495,4654,3897,11052,180397
496,4598,3903,11105,180394
497,4621,3846,11167,180366
498,4642,3888,11028,180442
499,4609,3904,10989,180498
500,4621,3920,10930,180529
501,4633,3811,10973,180583
502,4649,3824,10990,180537
503,4601,3842,10983,180574
504,4621,3823,10973,180583
505,4613,3865,10949,180573
506,4592,3812,11021,180575
507,4630,3849,11009,180512
508,4722,3803,11042,180433
509,4695,3883,11032,180390
510,4674,3832,11072,180422
511,4612,3841,11075,180472
512,4684,3778,11064,180474
513,4545,3851,11029,180575
514,4596,3837,10934,180633
515,4615,3821,10937,180627
516,4677,3789,10797,180737
517,4583,3847,10833,180737
518,4642,3816,10849,180693
519,4696,3808,10779,180717
520,4674,3806,10835,180685
521,4755,3779,10811,180655
522,4800,3824,10695,180681
523,4737,3821,10677,180765
524,4793,3732,10765,180710
525,4694,3793,10816,180697
526,4678,3788,10826,180708
527,4773,3778,10886,180563
528,4771,3805,10855,180569
529,4701,3883,10854,180562
530,4670,3798,11005,180527
531,4722,3769,11066,180443
532,4757,3824,10918,180501
533,4832,3803,10972,180393
534,4926,3817,10946,180311
535,4820,3867,10990,180323
536,4783,3962,10975,180280
537,4817,3918,11032,180233
538,4769,3889,11093,180249
539,4627,3934,11058,180381
540,4726,3910,11017,180347
541,4734,3854,11023,180389
542,4745,3824,10978,180453
543,4710,3857,10960,180473
544,4739,3836,11039,180386
545,4611,3881,11112,180396
546,4620,3892,11028,180460
547,4680,3847,11053,180420
548,4734,3883,11069,180314
549,4774,3897,11018,180311
550,4795,3809,11083,180313
551,4768,3832,11104,180296
552,4835,3846,11098,180221
553,4743,3933,11108,180216
554,4581,4054,11077,180288
555,4662,3931,11148,180259
556,4617,3877,11196,180310
557,4528,3945,11182,180345
558,4628,3867,11136,180369
559,4570,3797,11183,180450
560,4697,3679,11235,180389
561,4682,3745,11182,180391
562,4648,3779,11153,180420
563,4559,3895,11083,180463
564,4618,3934,10929,180519
565,4678,3850,10944,180528
566,4681,3868,10943,180508
567,4719,3851,10999,180431
568,4678,3874,10980,180468
569,4708,3886,10970,180436
570,4673,3903,10914,180510
571,4889,3847,10841,180423
572,4786,3942,10804,180468
573,4751,3934,10831,180484
574,4762,3997,10882,180359
575,4712,3948,10989,180351
576,4609,3900,11011,180480
577,4573,3891,11011,180525
578,4671,3766,11062,180501
579,4683,3770,10947,180600
580,4676,3775,10885,180664
581,4672,3807,10829,180692
582,4746,3776,10857,180621
583,4744,3736,10959,180561
584,4754,3724,10976,180546
585,4696,3841,10898,180565
586,4684,3903,10875,180538
587,4582,3893,11003,180522
588,4559,3894,10997,180550
589,4477,3933,11006,180584
590,4514,3807,11110,180569
591,4511,3910,10978,180601
592,4575,3898,10936,180591
593,4618,3798,10978,180606
594,4727,3770,10997,180506
595,4696,3787,10957,180560
596,4691,3764,11034,180511
597,4660,3803,11015,180522
598,4629,3784,11082,180505
599,4522,3777,11155,180546
600,4553,3775,11094,180578
601,4551,3756,11063,180630
602,4625,3858,10929,180588
603,4689,3834,10839,180638
604,4706,3794,10806,180694
605,4685,3799,10853,180663
606,4705,3752,10865,180678
607,4701,3750,10853,180696
608,4714,3783,10791,180712
609,4667,3920,10681,180732
610,4704,3907,10669,180720
611,4825,3856,10686,180633
612,4813,3888,10708,180591
613,4777,3855,10815,180553
614,4828,3843,10817,180512
615,4797,3784,10851,180568
616,4720,3863,10813,180604
617,4666,3874,10880,180580
618,4600,3916,10903,180581
619,4652,3818,10919,180611
620,4585,3794,10944,180677
621,4709,3775,10961,180555
622,4749,3762,10944,180545
623,4762,3791,10883,180564
624,4787,3887,10783,180543
625,4821,3824,10874,180481
626,4806,3888,10829,180477
627,4711,3901,10929,180459
628,4715,3905,10936,180444
629,4699,3900,10963,180438
630,4715,3963,10987,180335
631,4686,3917,11015,180382
632,4628,3918,11044,180410
633,4588,3817,11079,180516
634,4565,3888,10964,180583
635,4540,3890,11008,180562
636,4618,3964,10868,180550
637,4627,3864,10983,180526
638,4602,3884,10971,180543
639,4548,3839,11034,180579
